account_id,label
8123600,0
8107557,0
8127625,0
8123537,0
8091675,0
8100443,0
8090688,0
8101348,0
8087299,0
8092113,0
8103632,0
8120984,0
8086972,0
8099536,0
8115141,0
8128453,0
8086749,0
8110817,0
8092454,0
8123469,0
8097974,0
8097116,0
8101887,0
8115384,0
8114764,0
8125321,0
8113818,0
8112088,0
8101068,0
8120764,0
8100287,0
8129625,0
8100496,0
8107999,0
8119795,0
8108637,0
8101090,0
8127776,0
8102580,0
8108722,0
8109346,0
8118633,0
8089280,0
8095487,0
8091075,0
8093562,0
8111549,0
8089554,0
8123214,0
8117919,0
8103312,0
8120178,0
8101769,0
8111304,0
8092787,0
8089825,0
8114363,0
8114725,0
8112477,0
8125412,0
8127803,0
8115032,0
8121479,1
8106485,0
8089994,0
8121659,0
8102416,0
8097083,0
8113783,0
8128265,0
8097335,0
8104645,0
8106814,0
8098047,0
8109717,0
8102647,0
8087907,0
8106142,0
8091666,0
8127433,0
8120427,0
8105488,0
8100095,1
8116596,0
8124477,0
8090947,1
8123415,0
8108176,0
8110614,0
8118810,0
8085549,0
8118750,0
8128769,0
8092885,0
8100783,0
8090177,0
8124048,0
8101396,0
8098323,0
8092325,0
8111003,0
8129998,0
8097700,0
8105593,0
8121484,0
8112286,0
8100215,0
8092563,0
8102182,0
8118663,0
8120186,0
8091279,0
8116462,0
8112309,0
8126980,0
8123298,0
8086785,0
8101388,0
8122676,0
8105645,0
8107879,0
8121895,0
8107590,0
8089471,0
8089915,0
8088936,0
8123054,0
8103955,0
8086898,0
8100610,0
8128652,0
8098391,0
8115335,0
8097792,0
8091607,0
8125938,0
8102041,1
8125629,0
8119850,0
8111977,0
8089894,0
8120589,0
8091319,0
8091046,0
8098324,0
8128380,0
8111778,0
8104189,0
8098858,1
8127487,0
8111849,0
8091871,0
8106781,0
8087353,0
8086735,0
8109756,0
8126889,0
8129377,0
8119599,0
8109441,0
8093458,0
8108957,0
8120190,0
8085346,0
8100293,0
8124488,1
8112026,0
8112442,0
8092937,0
8095917,0
8104977,0
8096069,0
8107581,0
8110650,0
8113460,0
8112781,0
8098853,0
8110255,0
8113810,0
8123869,0
8104090,1
8113373,0
8128708,0
8115485,0
8115786,0
8108316,0
8110687,0
8113196,0
8111222,0
8096360,0
8112124,0
8099111,0
8099286,0
8126787,0
8091337,0
8097407,0
8112799,0
8124271,0
8085364,0
